Operation,calendarCode,schoolId,schoolYear,calendarTypeDescriptor
CREATE,1,122,2018,School
CREATE,1,123,2018,School
CREATE,1,124,2018,School
CREATE,1,125,2018,School
CREATE,1,126,2018,School
CREATE,1,127,2018,School
CREATE,1,129,2018,School
CREATE,1,130,2018,School
CREATE,1,132,2018,School
CREATE,1,133,2018,School
CREATE,1,136,2018,School
CREATE,1,138,2018,School
CREATE,1,140,2018,School
CREATE,1,141,2018,School
CREATE,1,143,2018,School
CREATE,1,144,2018,School
CREATE,1,145,2018,School
CREATE,1,146,2018,School
CREATE,1,147,2018,School
CREATE,1,148,2018,School
CREATE,1,149,2018,School
CREATE,1,150,2018,School
CREATE,1,151,2018,School
CREATE,1,152,2018,School
CREATE,1,154,2018,School
CREATE,1,155,2018,School
CREATE,1,156,2018,School
CREATE,1,157,2018,School
CREATE,1,158,2018,School
CREATE,1,159,2018,School
CREATE,1,160,2018,School
CREATE,1,161,2018,School
CREATE,1,162,2018,School
CREATE,1,163,2018,School
CREATE,1,164,2018,School
CREATE,1,165,2018,School
CREATE,1,166,2018,School
CREATE,1,168,2018,School
CREATE,1,170,2018,School
CREATE,1,171,2018,School
CREATE,1,172,2018,School
CREATE,1,173,2018,School
CREATE,1,174,2018,School
CREATE,1,175,2018,School
CREATE,1,176,2018,School
CREATE,1,177,2018,School
CREATE,1,178,2018,School
CREATE,1,179,2018,School
CREATE,1,180,2018,School
CREATE,1,181,2018,School
CREATE,1,182,2018,School
CREATE,1,183,2018,School
CREATE,1,184,2018,School
CREATE,1,185,2018,School
CREATE,1,186,2018,School
CREATE,1,187,2018,School
CREATE,1,188,2018,School
CREATE,1,189,2018,School
CREATE,1,190,2018,School
CREATE,1,194,2018,School
CREATE,1,250,2018,School
CREATE,1,251,2018,School
CREATE,1,393,2018,School
CREATE,1,12,2018,School
CREATE,1,395,2018,School
CREATE,1,249,2018,School
CREATE,1,115,2018,School
CREATE,1,471,2018,School
CREATE,1,475,2018,School
CREATE,1,476,2018,School
CREATE,1,480,2018,School
CREATE,1,482,2018,School
CREATE,1,485,2018,School
CREATE,1,486,2018,School
CREATE,1,490,2018,School
CREATE,1,492,2018,School
CREATE,1,473,2018,School
CREATE,1,474,2018,School
CREATE,1,483,2018,School
CREATE,1,491,2018,School
CREATE,1,478,2018,School
CREATE,1,495,2018,School
CREATE,1,496,2018,School
CREATE,1,477,2018,School
CREATE,1,457,2018,School
CREATE,1,458,2018,School
CREATE,1,460,2018,School
CREATE,1,462,2018,School
CREATE,1,463,2018,School
CREATE,1,464,2018,School
CREATE,1,465,2018,School
CREATE,1,454,2018,School
CREATE,1,455,2018,School
CREATE,1,456,2018,School
CREATE,1,411,2018,School
CREATE,1,412,2018,School
CREATE,1,421,2018,School
CREATE,1,422,2018,School
CREATE,1,446,2018,School
CREATE,1,447,2018,School
CREATE,1,468,2018,School
CREATE,1,2,2019,School
CREATE,1,4,2019,School
CREATE,1,5,2019,School
CREATE,1,6,2019,School
CREATE,1,7,2019,School
CREATE,1,8,2019,School
CREATE,1,9,2019,School
CREATE,1,13,2019,School
CREATE,1,14,2019,School
CREATE,1,15,2019,School
CREATE,1,17,2019,School
CREATE,1,18,2019,School
CREATE,1,19,2019,School
CREATE,1,26,2019,School
CREATE,1,27,2019,School
CREATE,1,28,2019,School
CREATE,1,29,2019,School
CREATE,1,30,2019,School
CREATE,1,32,2019,School
CREATE,1,35,2019,School
CREATE,1,36,2019,School
CREATE,1,43,2019,School
CREATE,1,44,2019,School
CREATE,1,45,2019,School
CREATE,1,46,2019,School
CREATE,1,47,2019,School
CREATE,1,51,2019,School
CREATE,1,52,2019,School
CREATE,1,53,2019,School
CREATE,1,54,2019,School
CREATE,1,55,2019,School
CREATE,1,57,2019,School
CREATE,1,58,2019,School
CREATE,1,59,2019,School
CREATE,1,60,2019,School
CREATE,1,61,2019,School
CREATE,1,62,2019,School
CREATE,1,64,2019,School
CREATE,1,65,2019,School
CREATE,1,101,2019,School
CREATE,1,102,2019,School
CREATE,1,103,2019,School
CREATE,1,104,2019,School
CREATE,1,105,2019,School
CREATE,1,106,2019,School
CREATE,1,107,2019,School
CREATE,1,109,2019,School
CREATE,1,110,2019,School
CREATE,1,111,2019,School
CREATE,1,112,2019,School
CREATE,1,113,2019,School
CREATE,1,114,2019,School
CREATE,1,116,2019,School
CREATE,1,117,2019,School
CREATE,1,118,2019,School
CREATE,1,119,2019,School
CREATE,1,121,2019,School
CREATE,1,122,2019,School
CREATE,1,123,2019,School
CREATE,1,124,2019,School
CREATE,1,125,2019,School
CREATE,1,126,2019,School
CREATE,1,127,2019,School
CREATE,1,129,2019,School
CREATE,1,130,2019,School
CREATE,1,132,2019,School
CREATE,1,133,2019,School
CREATE,1,136,2019,School
CREATE,1,138,2019,School
CREATE,1,140,2019,School
CREATE,1,141,2019,School
CREATE,1,143,2019,School
CREATE,1,144,2019,School
CREATE,1,145,2019,School
CREATE,1,146,2019,School
CREATE,1,147,2019,School
CREATE,1,148,2019,School
CREATE,1,149,2019,School
CREATE,1,150,2019,School
CREATE,1,151,2019,School
CREATE,1,152,2019,School
CREATE,1,154,2019,School
CREATE,1,155,2019,School
CREATE,1,156,2019,School
CREATE,1,157,2019,School
CREATE,1,158,2019,School
CREATE,1,159,2019,School
CREATE,1,160,2019,School
CREATE,1,161,2019,School
CREATE,1,162,2019,School
CREATE,1,163,2019,School
CREATE,1,164,2019,School
CREATE,1,165,2019,School
CREATE,1,166,2019,School
CREATE,1,168,2019,School
CREATE,1,170,2019,School
CREATE,1,171,2019,School
CREATE,1,172,2019,School
CREATE,1,173,2019,School
CREATE,1,174,2019,School
CREATE,1,175,2019,School
CREATE,1,176,2019,School
CREATE,1,177,2019,School
CREATE,1,178,2019,School
CREATE,1,179,2019,School
CREATE,1,180,2019,School
CREATE,1,181,2019,School
CREATE,1,182,2019,School
CREATE,1,183,2019,School
CREATE,1,184,2019,School
CREATE,1,185,2019,School
CREATE,1,186,2019,School
CREATE,1,187,2019,School
CREATE,1,188,2019,School
CREATE,1,189,2019,School
CREATE,1,190,2019,School
CREATE,1,250,2019,School
CREATE,1,251,2019,School
CREATE,1,393,2019,School
CREATE,1,12,2019,School
CREATE,1,33,2019,School
CREATE,1,395,2019,School
CREATE,1,249,2019,School
CREATE,1,115,2019,School
CREATE,1,482,2019,School
CREATE,1,492,2019,School
CREATE,1,496,2019,School
CREATE,1,480,2019,School
